address,flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,numUniqSentAddress,numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherSentContracts,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
0xe1cc2effb5b646fb8a9041b2362655357c1776b4,0,0,2886383,112295.1912,53,1628218717.000000,34302987.25,389,136,48,0,53,14,0,3.37,0.248337,0.004009,2.69,0.362511,184,33.773867008064265,17.400548555503008,0,-16.37331845,182,3,0.35036496350364965,0.7351351351351352,0.2594594594594595,0.8084564829784429,0.6500936321644561,0.4730077120822622,7.345793191
0xd01dc8371c9e14303b796aba11b0589af90e2103,0,663,2583,1244.894737,112,1636377869.000000,57303191.17,295,19,29,0,1,2,0.249819,2.599465,1.037477,0.010446,2.6,0.680326,48,19.712060409569713,19.729445547880204,0,0.017385138310491044,48,1,1.45,0.3877551020408163,0.5918367346938775,0.3164825314484231,0.5169430695386031,0.16271186440677965,0.6162729985775991
0x4ef3d9eab34783995bc394d569845585ac805ef8,0,0,0,0,0,80447,8.860186,2,0,9999,1,0,8106,0,0,0,0,0.6,0.003019,10000,0,30.186000000000007,0,30.186000000000007,2,7512,9999,0,0.9998000199980002,0,0.9799493779167275,5000,4.632744784661118
0x6deaea69df452a4c13f8ca2898872ac4350db37f,0,0,5487924,156044.972,0,1597599082.000000,21390176.95,711,214,76,0,45,18,0,20.26,1.02095,0,13.036166,0.758277,290,218.4832057526724,57.62902120389736,0,-160.8541845,284,1,0.35348837209302325,0.7353951890034365,0.2611683848797251,0.8737390719625562,0.7300446307429851,0.4078762306610408,58.306232548395904
0xf198c8e7a8638b5ab7e17467b9dfa743277b8c2c,0,15,1553378,82294.77586,123,1655720422.000000,236741315.3,73,58,7,0,19,3,0,0.5,0.019203,0.014757,0.15,0.073908,65,1.1137899999999998,0.5173569996750372,0,-0.596433,46,9,0.11864406779661017,0.8787878787878788,0.10606060606060606,0.8803181473412036,0.3097768312922259,0.8904109589041096,0.2701732318944345
0x13a9cf094c4f51fbe37665509b03e96c4c6993a0,0,0,3525037,48280.40111,18,1609495959.000000,10576105.17,606,905,153,0,142,14,0,4.98,0.203683,0.003,9.805,0.487995,1058,184.33300267592531,74.66318611000001,0,-109.6698166,606,18,0.16887417218543047,0.8545797922568461,0.14447592067988668,0.8687606620187408,0.7276136,1.7458745874587458,38.527465759665716
0x8855169007a6237e6a84c4aff2a69f8787d3c8f5,0,33,5747818,247345.9107,174,1644485038.000000,86745436.95,203,56,19,0,13,7,0,1,0.132734,0.005,0.765441,0.294089,75,7.433099999999999,5.587692156904657,0,-1.845407843,74,2,0.3333333333333333,0.7368421052631579,0.25,0.7737942863151497,0.4763031051577205,0.3694581280788177,0.777698323
0x8041765c15829ce857764188c238d2aff8e022c7,0,0,178426,11187.50526,72,1655793034.000000,12035981.09,73,95,138,0,82,52,0.005808,15,1.038604,0.03,5,0.702163,233,98.66742173578643,96.89845927000003,0,-1.768962466,72,68,1.4375,0.405982906,0.5897435897435898,0.7909670855896584,0.49370556719015235,3.191780821917808,4.9555466043123255
0xdc7d615fb33429d8cf303cbdd795f089261a3335,0,65,1170568,238170.1875,69131,1652534745.000000,330903559.8,67,16,5,0,10,3,0,0.6,0.123178,0.02,1,0.399726,21,1.9708536588868906,1.9986291542628782,0,0.027775495,19,2,0.29411764705882354,0.7272727272727273,0.22727272727272727,0.6895091976769525,0.4763695356286461,0.31343283582089554,0.2524606074255921
0x82b5a6119d70a87f81b4624d69c57b44e617571f,0,0,2714275,237560.9063,772,1642523191.000000,117600397.9,221,64,14,0,26,5,0,0.3,0.019539,0.012561,0.316523,0.086966,78,1.250475110423309,1.2175258899999999,0,-0.03294922,74,5,0.2153846153846154,0.810126582,0.17721518987341772,0.8452100733982297,0.49780544197435256,0.35294117647058826,0.069945647
